State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Acacia alpina,native,Acacia alpina F.Muell.,Acacia alpina,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aspera subsp. aspera,native,Acacia aspera Lindl. subsp. aspera,Acacia aspera subsp. aspera,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia baileyana,introduced,Acacia baileyana F.Muell.,Acacia baileyana,naturalised,F.Muell.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia baileyana x Acacia decurrens,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Acacia boormanii,introduced,Acacia boormanii Maiden,Acacia boormanii,naturalised,Maiden,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia buxifolia subsp. buxifolia,native,Acacia buxifolia A.Cunn. subsp. buxifolia,Acacia buxifolia subsp. buxifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia cardiophylla,doubtfully naturalised,Acacia cardiophylla A.Cunn. ex Benth.,Acacia cardiophylla,doubtfully naturalised,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acacia cultriformis,introduced,Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,doubtfully naturalised,A.Cunn. ex G.Don,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Acacia dawsonii,native colonising,Acacia dawsonii R.T.Baker,Acacia dawsonii,native,R.T.Baker,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia dealbata,native,Acacia dealbata Link,Acacia dealbata,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Acacia dealbata x Acacia decurrens,doubtfully naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,doubtfully naturalised,introduced,established
Acacia dealbata x Acacia parramattensis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia decurrens,introduced,Acacia decurrens Willd.,Acacia decurrens,naturalised,Willd.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia doratoxylon,native,Acacia doratoxylon A.Cunn.,Acacia doratoxylon,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia elongata,doubtfully naturalised,Acacia elongata Sieber ex DC.,Acacia elongata,doubtfully naturalised,Sieber ex DC.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acacia extensa,introduced,Acacia extensa Lindl.,Acacia extensa,NA,Lindl.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Acacia falcata,doubtfully naturalised,Acacia falcata Willd.,Acacia falcata,NA,Willd.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia falciformis,native,Acacia falciformis DC.,Acacia falciformis,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia fimbriata,doubtfully naturalised,Acacia fimbriata A.Cunn. ex G.Don,Acacia fimbriata,doubtfully naturalised,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acacia flexifolia,doubtfully naturalised,Acacia flexifolia A.Cunn. ex Benth.,Acacia flexifolia,NA,A.Cunn. ex Benth.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia floribunda,introduced,Acacia floribunda (Vent.) Willd.,Acacia floribunda,doubtfully naturalised,(Vent.) Willd.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Acacia genistifolia,native,Acacia genistifolia Link,Acacia genistifolia,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Acacia gunnii,native,Acacia gunnii Benth.,Acacia gunnii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia howittii,introduced,Acacia howittii F.Muell.,Acacia howittii,doubtfully naturalised,F.Muell.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Acacia implexa,native,Acacia implexa Benth.,Acacia implexa,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia iteaphylla,doubtfully naturalised,Acacia iteaphylla F.Muell. ex Benth.,Acacia iteaphylla,NA,F.Muell. ex Benth.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia lanigera var. lanigera,native,Acacia lanigera A.Cunn. var. lanigera,Acacia lanigera var. lanigera,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia longifolia subsp. longifolia,introduced,Acacia longifolia (Andrews) Willd. subsp. longifolia,Acacia longifolia subsp. longifolia,formerly naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is formerly naturalised",introduced,introduced,not enough information to assign degree of establishment
Acacia lunata,doubtfully naturalised,"Acacia lunata Lodd., G.Lodd. & W.Lodd.",Acacia lunata,doubtfully naturalised,"Lodd., G.Lodd. & W.Lodd.",accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acacia mearnsii,native,Acacia mearnsii De Wild.,Acacia mearnsii,native,De Wild.,accepted,Similar for the state flora and the APC,native,native,native
Acacia melanoxylon,native colonising,Acacia melanoxylon R.Br.,Acacia melanoxylon,native,R.Br.,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia obliquinervia,native,Acacia obliquinervia Tindale,Acacia obliquinervia,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia paradoxa,native,Acacia paradoxa DC.,Acacia paradoxa,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia parramattensis,native,Acacia parramattensis Tindale,Acacia parramattensis,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia penninervis var. penninervis,native,Acacia penninervis Sieber ex DC. var. penninervis,Acacia penninervis var. penninervis,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia pravissima,native,Acacia pravissima F.Muell. ex Benth.,Acacia pravissima,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia pycnantha,native colonising,Acacia pycnantha Benth.,Acacia pycnantha,native,Benth.,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia rubida,native colonising,Acacia rubida A.Cunn.,Acacia rubida,native,A.Cunn.,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia saligna,doubtfully naturalised,Acacia saligna (Labill.) H.L.Wendl.,Acacia saligna,NA,(Labill.) H.L.Wendl.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia siculiformis,native,Acacia siculiformis A.Cunn. ex Benth.,Acacia siculiformis,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia stricta,introduced,Acacia stricta (Andrews) Willd.,Acacia stricta,NA,(Andrews) Willd.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Acacia subulata,doubtfully naturalised,Acacia subulata Bonpl.,Acacia subulata,NA,Bonpl.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia terminalis,formerly naturalised,Acacia terminalis (Salisb.) J.F.Macbr.,Acacia terminalis,doubtfully naturalised,(Salisb.) J.F.Macbr.,accepted,"According to the state flora is formerly naturalised, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Acacia ulicifolia,native,Acacia ulicifolia (Salisb.) Court,Acacia ulicifolia,native,(Salisb.) Court,accepted,Similar for the state flora and the APC,native,native,native
Acacia uncinata,doubtfully naturalised,Acacia uncinata Lindl.,Acacia uncinata,NA,Lindl.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia venulosa,doubtfully naturalised,Acacia venulosa Benth.,Acacia venulosa,NA,Benth.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Acacia verniciflua,native,Acacia verniciflua A.Cunn.,Acacia verniciflua,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia vestita,doubtfully naturalised,Acacia vestita Ker Gawl.,Acacia vestita,doubtfully naturalised,Ker Gawl.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acacia viscidula,doubtfully naturalised,Acacia viscidula Benth.,Acacia viscidula,doubtfully naturalised,Benth.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acaena echinata,native,Acaena echinata Nees,Acaena echinata,native,Nees,accepted,Similar for the state flora and the APC,native,native,native
Acaena novae-zelandiae,native,Acaena novae-zelandiae Kirk,Acaena novae-zelandiae,native,Kirk,accepted,Similar for the state flora and the APC,native,native,native
Acaena ovina,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acaena x anserovina,native,Acaena x anserovina Orchard,Acaena x anserovina,native,Orchard,accepted,Similar for the state flora and the APC,native,native,native
Acer negundo,introduced,Acer negundo L.,Acer negundo,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Achillea distans,formerly naturalised,Achillea distans Waldst. & Kit. ex Willd.,Achillea distans,naturalised,Waldst. & Kit. ex Willd.,accepted,"According to the state flora is formerly naturalised, while according to the APC is naturalised",naturalised,introduced,established
Achillea millefolium,introduced,Achillea millefolium L.,Achillea millefolium,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acianthus collinus,native,Acianthus collinus D.L.Jones,Acianthus collinus,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Acianthus exsertus,native,Acianthus exsertus R.Br.,Acianthus exsertus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Aciphylla simplicifolia,native,Aciphylla simplicifolia (F.Muell.) Benth.,Aciphylla simplicifolia,native,(F.Muell.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acrothamnus hookeri,native,Acrothamnus hookeri (Sond.) Quinn,Acrothamnus hookeri,native,(Sond.) Quinn,accepted,Similar for the state flora and the APC,native,native,native
Acrotriche leucocarpa,native,Acrotriche leucocarpa Jobson & Whiffin,Acrotriche leucocarpa,native,Jobson & Whiffin,accepted,Similar for the state flora and the APC,native,native,native
Acrotriche serrulata,native,Acrotriche serrulata R.Br.,Acrotriche serrulata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Adiantum aethiopicum,native,Adiantum aethiopicum L.,Adiantum aethiopicum,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Adiantum hispidulum var. hispidulum,native,Adiantum hispidulum Sw. var. hispidulum,Adiantum hispidulum var. hispidulum,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Adiantum raddianum,doubtfully naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,doubtfully naturalised,introduced,established
Adriana tomentosa var. tomentosa,native,Adriana tomentosa Gaudich. var. tomentosa,Adriana tomentosa var. tomentosa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Agave americana,introduced,Agave americana L.,Agave americana,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Agrostis australiensis,native,Agrostis australiensis Mez,Agrostis australiensis,native,Mez,accepted,Similar for the state flora and the APC,native,native,native
Agrostis bettyae,native,Agrostis bettyae S.W.L.Jacobs,Agrostis bettyae,native,S.W.L.Jacobs,accepted,Similar for the state flora and the APC,native,native,native
Agrostis capillaris,introduced,Agrostis capillaris L.,Agrostis capillaris,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Agrostis joyceae,native,Agrostis joyceae S.W.L.Jacobs,Agrostis joyceae,native,S.W.L.Jacobs,accepted,Similar for the state flora and the APC,native,native,native
Agrostis muelleriana,native,Agrostis muelleriana Vickery,Agrostis muelleriana,native,Vickery,accepted,Similar for the state flora and the APC,native,native,native
Agrostis parviflora,native,Agrostis parviflora R.Br.,Agrostis parviflora,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Agrostis propinqua,native,Agrostis propinqua S.W.L.Jacobs,Agrostis propinqua,native,S.W.L.Jacobs,accepted,Similar for the state flora and the APC,native,native,native
Agrostis venusta,native,Agrostis venusta Trin.,Agrostis venusta,native,Trin.,accepted,Similar for the state flora and the APC,native,native,native
Ailanthus altissima,introduced,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,naturalised,(Mill.) Swingle,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Aira caryophyllea var. caryophyllea,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Aira cupaniana,introduced,Aira cupaniana Guss.,Aira cupaniana,naturalised,Guss.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Aira elegantissima,introduced,Aira elegantissima Schur,Aira elegantissima,naturalised,Schur,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ajuga australis,native,Ajuga australis R.Br.,Ajuga australis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Alisma lanceolatum,introduced,Alisma lanceolatum With.,Alisma lanceolatum,naturalised,With.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Alisma plantago-aquatica,native,Alisma plantago-aquatica L.,Alisma plantago-aquatica,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Allium triquetrum,doubtfully naturalised,Allium triquetrum L.,Allium triquetrum,NA,L.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Allium tuberosum,introduced,Allium tuberosum Rottler ex Spreng.,Allium tuberosum,naturalised,Rottler ex Spreng.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Allocasuarina littoralis,native,Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Allocasuarina littoralis,native,(Salisb.) L.A.S.Johnson,accepted,Similar for the state flora and the APC,native,native,native
Allocasuarina luehmannii,native,Allocasuarina luehmannii (R.T.Baker) L.A.S.Johnson,Allocasuarina luehmannii,native,(R.T.Baker) L.A.S.Johnson,accepted,Similar for the state flora and the APC,native,native,native
Allocasuarina verticillata,native,Allocasuarina verticillata (Lam.) L.A.S.Johnson,Allocasuarina verticillata,native,(Lam.) L.A.S.Johnson,accepted,Similar for the state flora and the APC,native,native,native
Almaleea capitata,native,Almaleea capitata (J.H.Willis) Crisp & P.H.Weston,Almaleea capitata,native,(J.H.Willis) Crisp & P.H.Weston,accepted,Similar for the state flora and the APC,native,native,native
Alnus glutinosa,introduced,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,naturalised,(L.) Gaertn.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Alopecurus geniculatus,formerly naturalised,Alopecurus geniculatus L.,Alopecurus geniculatus,formerly naturalised,L.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Alternanthera denticulata var. denticulata,native,Alternanthera denticulata R.Br. var. denticulata,Alternanthera denticulata var. denticulata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Alternanthera philoxeroides,introduced,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides,naturalised,(Mart.) Griseb.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Alternanthera pungens,introduced,Alternanthera pungens Kunth,Alternanthera pungens,naturalised,Kunth,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Alternanthera sp. A Flora of New South Wales (M.Gray 5187),native,Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer,Alternanthera sp. A Flora of New South Wales (M.Gray 5187),native,J.Palmer,accepted,Similar for the state flora and the APC,native,native,native
Amaranthus albus,introduced,Amaranthus albus L.,Amaranthus albus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Amaranthus caudatus,doubtfully naturalised,Amaranthus caudatus L.,Amaranthus caudatus,naturalised,L.,accepted,"According to the state flora is doubtfully naturalised, while according to the APC is naturalised",naturalised,introduced,established
Amaranthus deflexus,introduced,Amaranthus deflexus L.,Amaranthus deflexus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Amaranthus hybridus,introduced,Amaranthus hybridus L.,Amaranthus hybridus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Amaranthus powellii,introduced,Amaranthus powellii S.Watson,Amaranthus powellii,naturalised,S.Watson,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Amaranthus quitensis,introduced,Amaranthus quitensis Kunth,Amaranthus quitensis,naturalised,Kunth,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Amaranthus retroflexus,introduced,Amaranthus retroflexus L.,Amaranthus retroflexus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ammobium alatum,introduced,Ammobium alatum R.Br.,Ammobium alatum,naturalised,R.Br.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Ampelopsis glandulosa var. brevipedunculata,doubtfully naturalised,Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.,Ampelopsis glandulosa var. brevipedunculata,doubtfully naturalised,(Maxim.) Momiy.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Amphibromus nervosus,native,Amphibromus nervosus (Hook.f.) Baill.,Amphibromus nervosus,NA,(Hook.f.) Baill.,accepted,Not recorded on the APC as present in this state,native,native,native
Amphibromus pithogastrus,native,Amphibromus pithogastrus S.W.L.Jacobs & Lapinpuro,Amphibromus pithogastrus,native,S.W.L.Jacobs & Lapinpuro,accepted,Similar for the state flora and the APC,native,native,native
Amsinckia calycina - intermedia [intermediate],introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Amyema cambagei,native,Amyema cambagei (Blakely) Danser,Amyema cambagei,native,(Blakely) Danser,accepted,Similar for the state flora and the APC,native,native,native
Amyema miquelii,native,Amyema miquelii (Lehm. ex Miq.) Tiegh.,Amyema miquelii,NA,(Lehm. ex Miq.) Tiegh.,accepted,Not recorded on the APC as present in this state,native,native,native
Amyema pendula subsp. pendula,native,Amyema pendula (Sieber ex Spreng.) Tiegh. subsp. pendula,Amyema pendula subsp. pendula,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Anchusa arvensis,doubtfully naturalised,Anchusa arvensis (L.) M.Bieb.,Anchusa arvensis,doubtfully naturalised,(L.) M.Bieb.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Andropogon virginicus,formerly naturalised,Andropogon virginicus L.,Andropogon virginicus,formerly naturalised,L.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Anredera cordifolia,doubtfully naturalised,Anredera cordifolia (Ten.) Steenis,Anredera cordifolia,NA,(Ten.) Steenis,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Anthemis arvensis,formerly naturalised,Anthemis arvensis L.,Anthemis arvensis,formerly naturalised,L.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Anthosachne scabra,native,Anthosachne scabra (R.Br.) Nevski,Anthosachne scabra,native,(R.Br.) Nevski,accepted,Similar for the state flora and the APC,native,native,native
Anthoxanthum odoratum,introduced,Anthoxanthum odoratum L.,Anthoxanthum odoratum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Aphanes arvensis,introduced,Aphanes arvensis L.,Aphanes arvensis,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Aphanes australiana,native,Aphanes australiana (Rothm.) Rothm.,Aphanes australiana,native,(Rothm.) Rothm.,accepted,Similar for the state flora and the APC,native,native,native
Arabidopsis thaliana,formerly naturalised,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,doubtfully naturalised,(L.) Heynh.,accepted,"According to the state flora is formerly naturalised, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Araujia sericifera,introduced,Araujia sericifera Brot.,Araujia sericifera,naturalised,Brot.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Arbutus unedo,doubtfully naturalised,Arbutus unedo L.,Arbutus unedo,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Arctotheca calendula,introduced,Arctotheca calendula (L.) K.Lewin,Arctotheca calendula,naturalised,(L.) K.Lewin,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Arenaria leptoclados,introduced,Arenaria leptoclados (Rchb.) Guss.,Arenaria leptoclados,naturalised,(Rchb.) Guss.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Argemone ochroleuca subsp. ochroleuca,introduced,Argemone ochroleuca Sweet subsp. ochroleuca,Argemone ochroleuca subsp. ochroleuca,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Argyrotegium mackayi,native,Argyrotegium mackayi (Buchanan) J.M.Ward & Breitw.,Argyrotegium mackayi,native,(Buchanan) J.M.Ward & Breitw.,accepted,Similar for the state flora and the APC,native,native,native
Aristida behriana,introduced,Aristida behriana F.Muell.,Aristida behriana,formerly naturalised,F.Muell.,accepted,"According to the state flora is introduced, while according to the APC is formerly naturalised",introduced,introduced,not enough information to assign degree of establishment
Aristida calycina var. calycina,native,Aristida calycina R.Br. var. calycina,Aristida calycina var. calycina,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Aristida jerichoensis var. jerichoensis,native,Aristida jerichoensis (Domin) Henrard var. jerichoensis,Aristida jerichoensis var. jerichoensis,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Aristida jerichoensis var. subspinulifera,native,Aristida jerichoensis var. subspinulifera Henrard,Aristida jerichoensis var. subspinulifera,native,Henrard,accepted,Similar for the state flora and the APC,native,native,native
Aristida ramosa,native,Aristida ramosa R.Br.,Aristida ramosa,NA,R.Br.,accepted,Not recorded on the APC as present in this state,native,native,native
Arrhenatherum elatius var. elatius,introduced,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl var. elatius,Arrhenatherum elatius var. elatius,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Arrhenechthites mixtus,native,Arrhenechthites mixtus (A.Rich.) Belcher,Arrhenechthites mixtus,native,(A.Rich.) Belcher,accepted,Similar for the state flora and the APC,native,native,native
Artemisia absinthium,doubtfully naturalised,Artemisia absinthium L.,Artemisia absinthium,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Artemisia verlotiorum,introduced,Artemisia verlotiorum Lamotte,Artemisia verlotiorum,formerly naturalised,Lamotte,accepted,"According to the state flora is introduced, while according to the APC is formerly naturalised",introduced,introduced,not enough information to assign degree of establishment
Arthropodium fimbriatum,native,Arthropodium fimbriatum R.Br.,Arthropodium fimbriatum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Arthropodium milleflorum,native,Arthropodium milleflorum (Redouté) J.F.Macbr.,Arthropodium milleflorum,native,(Redouté) J.F.Macbr.,accepted,Similar for the state flora and the APC,native,native,native
Arthropodium minus,native,Arthropodium minus R.Br.,Arthropodium minus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Arthropodium sp. Snowy R. catchment (N.G.Walsh 6195),native,Arthropodium sp. Snowy R. catchment (N.G.Walsh 6195) Vic. Herbarium,Arthropodium sp. Snowy R. catchment (N.G.Walsh 6195),NA,Vic. Herbarium,accepted,Not recorded on the APC as present in this state,native,native,native
Arum italicum,doubtfully naturalised,Arum italicum Mill.,Arum italicum,NA,Mill.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Arundo donax,doubtfully naturalised,Arundo donax L.,Arundo donax,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Asparagus asparagoides,doubtfully naturalised,Asparagus asparagoides (L.) W.Wight,Asparagus asparagoides,NA,(L.) W.Wight,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Asparagus officinalis,introduced,Asparagus officinalis L.,Asparagus officinalis,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Asperula ambleia,native,Asperula ambleia Airy Shaw & Turrill,Asperula ambleia,native,Airy Shaw & Turrill,accepted,Similar for the state flora and the APC,native,native,native
Asperula conferta,native,Asperula conferta Hook.f.,Asperula conferta,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Asperula gunnii,native,Asperula gunnii Hook.f.,Asperula gunnii,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Asperula pusilla,native,Asperula pusilla Hook.f.,Asperula pusilla,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Asperula scoparia subsp. scoparia,native,Asperula scoparia Hook.f. subsp. scoparia,Asperula scoparia subsp. scoparia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Asplenium bulbiferum subsp. gracillimum,native,Asplenium gracillimum Colenso,Asplenium gracillimum,NA,Colenso,nomenclatural synonym,Not recorded on the APC as present in this state,native,native,native
Asplenium flabellifolium,native,Asplenium flabellifolium Cav.,Asplenium flabellifolium,native,Cav.,accepted,Similar for the state flora and the APC,native,native,native
Asplenium trichomanes,native,Asplenium trichomanes L.,Asplenium trichomanes,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Astartea fascicularis,doubtfully naturalised,Astartea fascicularis (Labill.) DC.,Astartea fascicularis,doubtfully naturalised,(Labill.) DC.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Asterolasia correifolia,doubtfully naturalised,Asterolasia correifolia (A.Juss.) Benth.,Asterolasia correifolia,NA,(A.Juss.) Benth.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Asterolasia trymalioides subsp. villosa,native,Asterolasia trymalioides subsp. villosa K.L.McDougall & C.J.Hook,Asterolasia trymalioides subsp. villosa,native,K.L.McDougall & C.J.Hook,accepted,Similar for the state flora and the APC,native,native,native
Astroloma humifusum,native,Astroloma humifusum (Cav.) R.Br.,Astroloma humifusum,native,(Cav.) R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Astrotricha ledifolia,native,Astrotricha ledifolia DC.,Astrotricha ledifolia,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Atriplex holocarpa,formerly naturalised,Atriplex holocarpa F.Muell.,Atriplex holocarpa,formerly naturalised,F.Muell.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Atriplex prostrata,introduced,Atriplex prostrata Boucher ex DC.,Atriplex prostrata,naturalised,Boucher ex DC.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Atriplex semibaccata,introduced,Atriplex semibaccata R.Br.,Atriplex semibaccata,naturalised,R.Br.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Australina pusilla subsp. muelleri,native,Australina pusilla subsp. muelleri (Wedd.) Friis & Wilmot-Dear,Australina pusilla subsp. muelleri,native,(Wedd.) Friis & Wilmot-Dear,accepted,Similar for the state flora and the APC,native,native,native
Australopyrum pectinatum,native,Australopyrum pectinatum (Labill.) Á.Löve,Australopyrum pectinatum,native,(Labill.) Á.Löve,accepted,Similar for the state flora and the APC,native,native,native
