OTU,Beta
ITSall_OTUa_13,-0.26735500611208896
ITSall_OTUa_1016,-0.12329576589039824
ITSall_OTUb_427,-0.16685340288304223
ITSall_OTUa_1011,-0.21887555701035752
ITSall_OTUa_151,-0.13213086986122963
ITSall_OTUa_666,-0.17491837671915186
ITSall_OTUb_152,-0.04808093141721805
ITSall_OTUc_54,-0.21401805020241815
ITSall_OTUc_95,-0.11256400705033455
ITSall_OTUa_1125,-0.17932874575708205
ITSall_OTUa_1703,-0.1169801398427918
ITSall_OTUa_172,-0.01392195509750512
ITSall_OTUa_1213,-0.21987932914824723
ITSall_OTUa_83,-0.2193352335103257
ITSall_OTUa_1184,-0.244294977633264
ITSall_OTUj_431,-0.08556302789437956
ITSall_OTUa_2854,-0.25215053306980784
ITSall_OTUf_2741,-0.19954779112069979
ITSall_OTUa_2791,-0.10646765375643276
ITSall_OTUf_2198,-0.1745324639016172
ITSall_OTUa_1135,-0.08970638550398165
ITSall_OTUm_6684,-0.045985796460555714
ITSall_OTUa_3097,-0.17442360208271424
ITSall_OTUa_1666,-0.09143477630157013
ITSall_OTUk_1888,-0.1813758906361529
ITSall_OTUi_4086,-0.1675180110839232
ITSall_OTUa_6066,0.10824401171565569
ITSall_OTUn_1190,-0.16675835185473487
ITSall_OTUb_29,-0.1658360909820799
ITSall_OTUa_2566,0.01200068325653469
ITSall_OTUa_329,0.0095128629063322
ITSall_OTUd_8863,0.03720275643177623
ITSall_OTUf_2782,0.04005760371485918
ITSall_OTUa_6930,0.03015872540161805
ITSall_OTUi_1393,0.03012305145727027
ITSall_OTUb_42,0.08368031792565936
ITSall_OTUe_3512,0.009883596170213104
ITSall_OTUh_930,0.1331071332654935
ITSall_OTUa_1129,0.08215876811408207
ITSall_OTUm_4343,0.01185997920395402
ITSall_OTUb_262,0.08559249796804332
ITSall_OTUa_1437,0.008435994415271281
ITSall_OTUa_2141,0.017486305129020465
ITSall_OTUf_136,0.07628682602325566
ITSall_OTUf_795,0.10373583693446173
ITSall_OTUc_450,0.009186744785083746
ITSall_OTUf_123,0.0735184295478934
ITSall_OTUa_3164,0.003159751255312296
ITSall_OTUa_10016,0.0404656090485615
ITSall_OTUh_445,0.06086689535798264
ITSall_OTUk_6546,0.011258998481864265
ITSall_OTUa_85,-0.015139692653363056
ITSall_OTUa_696,-0.1009506247407503
ITSall_OTUa_648,-0.02723240308354443
ITSall_OTUa_706,-0.06741060909925717
ITSall_OTUf_234,-0.003849094672046746
ITSall_OTUj_1031,-0.06348424755149239
ITSall_OTUa_70,4.841253713677422e-5
ITSall_OTUa_1676,0.07731894872338653
ITSall_OTUf_2349,0.08025040103125027
ITSall_OTUa_1864,0.044975339826109795
ITSall_OTUa_6082,0.0885665434103602
ITSall_OTUa_3949,0.02015991409544995
ITSall_OTUj_6212,0.07098255602709147
ITSall_OTUh_77,0.0465221766345105
ITSall_OTUh_52,0.022256847047521715
ITSall_OTUf_1877,0.026060287994494613
ITSall_OTUa_4206,0.08034667053561133
ITSall_OTUb_22,0.0732682011165339
ITSall_OTUe_461,0.04366283500359614
ITSall_OTUf_1268,-0.0019967067881038088
ITSall_OTUa_2161,0.0769126403532073
ITSall_OTUh_235,0.07819677047652988
ITSall_OTUh_48,0.008701960353288733
ITSall_OTUh_145,0.020270229011391243
ITSall_OTUk_4740,0.04446815015375828
ITSall_OTUm_3953,0.09069457105618187
ITSall_OTUf_2264,0.016858595833577315
ITSall_OTUj_23383,0.009620730265337442
ITSall_OTUf_3541,-0.010422264786245788
ITSall_OTUa_9872,-0.036821325753166205
ITSall_OTUa_5161,-0.012524651598705548
ITSall_OTUb_8315,-0.00393149973637397
ITSall_OTUn_4424,-0.00545858324727475
ITSall_OTUb_8845,-0.007169688959755682
ITSall_OTUa_5059,-0.014218453516143238
ITSall_OTUf_1031,-0.01674639923914137
ITSall_OTUa_248,0.03751969022474861
ITSall_OTUe_1527,-0.00856084140828194
ITSall_OTUj_26040,-0.011338949007538093
ITSall_OTUf_308,-0.008818955067060158
ITSall_OTUa_6430,-0.013330599699968424
ITSall_OTUj_16938,-0.007296466073651845
ITSall_OTUj_21782,-0.004958403956997942
ITSall_OTUa_3731,-0.015499594059143652
ITSall_OTUf_2235,-0.006853359183883266
ITSall_OTUh_123,-0.01070045928556537
ITSall_OTUa_7229,-0.004560628162027257
ITSall_OTUm_7394,-0.0029896490081354594
ITSall_OTUf_1077,0.0016034571061986865
ITSall_OTUa_934,-0.008000027420002432
ITSall_OTUa_2419,-0.010998350967949181
ITSall_OTUa_5250,-0.003175668816633295
ITSall_OTUa_636,-0.009272147758982167
ITSall_OTUe_3694,-0.01136247885102325
ITSall_OTUd_8790,-0.013660719555627483
ITSall_OTUb_2876,-0.042153402843325444
ITSall_OTUa_434,0.030490119920409127
ITSall_OTUk_1446,0.02875813479617861
ITSall_OTUm_1082,0.028783876755210294
ITSall_OTUf_2125,0.029872551932856425
ITSall_OTUa_1498,0.03053700130687326
ITSall_OTUa_1704,0.02988308525128811
ITSall_OTUk_811,0.03216170120422604
ITSall_OTUj_3624,0.04100604421406372
ITSall_OTUm_3756,0.028471285296615523
ITSall_OTUm_13451,0.028408156177669515
ITSall_OTUa_90,-0.09762567791886398
ITSall_OTUd_1875,-0.11984163879451941
ITSall_OTUa_688,-0.1257985617264114
ITSall_OTUa_2374,-0.12666578266426579
ITSall_OTUj_161,-0.12576882667226896
ITSall_OTUh_21,-0.1269830703681324
ITSall_OTUa_5253,-0.12364102658184625
ITSall_OTUa_130,-0.1223413758269499
ITSall_OTUf_3257,-0.11824127259399478
ITSall_OTUg_193,-0.14881134945095773
ITSall_OTUa_533,-0.13628719592895494
ITSall_OTUa_1737,-0.099395195286531
ITSall_OTUa_515,-0.057545961794198575
ITSall_OTUa_48,-0.19081331333982027
ITSall_OTUm_2998,-0.13366911582077243
ITSall_OTUa_10348,-0.13490974033694153
ITSall_OTUa_2561,-0.01741947437203538
ITSall_OTUm_1401,0.08209248947140568
ITSall_OTUj_155,0.14836844256338988
ITSall_OTUf_75,0.2709858081388272
ITSall_OTUb_944,0.44876518218974976
ITSall_OTUd_2843,0.08824023000113229
ITSall_OTUd_62,0.08083112696203353
ITSall_OTUn_605,0.18106317937222183
ITSall_OTUm_6301,-0.046898556804924676
ITSall_OTUm_39,0.11958017800553798
ITSall_OTUj_1432,0.12562166868880278
ITSall_OTUk_5623,0.08044871209028767
ITSall_OTUb_49,-0.2275373498987458
ITSall_OTUa_4555,-0.1459918557077061
ITSall_OTUj_3253,-0.05646638447957224
ITSall_OTUb_3024,-0.1439087260418577
ITSall_OTUf_540,0.06810932755251924
ITSall_OTUe_3526,-0.1581972931215358
ITSall_OTUm_6,-0.01691173052323059
ITSall_OTUj_255,-0.028022914110170802
ITSall_OTUb_87,-0.05588507791912789
ITSall_OTUa_24,-0.06658957000887007
ITSall_OTUb_1343,-0.05740631977975183
ITSall_OTUa_5137,-0.06385866303837409
ITSall_OTUj_5345,-0.06055728279643004
ITSall_OTUj_3122,-0.06434775310547361
ITSall_OTUb_3146,-0.06449138069490142
ITSall_OTUg_86,-0.14876766518054854
ITSall_OTUa_7612,-0.050949879253709085
ITSall_OTUj_464,-0.233735472159218
ITSall_OTUc_1019,-0.05618886772762077
ITSall_OTUa_3623,-0.06555207187675605
ITSall_OTUa_135,-0.09838301897831861
ITSall_OTUj_1470,-0.1319795430513645
ITSall_OTUn_2668,-0.05957405683237155
ITSall_OTUm_18,-0.056870845225459835
ITSall_OTUd_6737,-0.04830236050985342
ITSall_OTUc_2721,-0.12914030306194152
ITSall_OTUa_9251,-0.03364373950711249
ITSall_OTUj_4284,0.02530598275869305
ITSall_OTUj_26564,-0.06544948248175039
ITSall_OTUm_386,-0.07045352744752502
ITSall_OTUa_8584,-0.0238562687986682
ITSall_OTUa_797,-0.11004808349922295
ITSall_OTUj_504,-0.18336589039185122
ITSall_OTUa_994,-0.07128238322403936
ITSall_OTUa_8140,-0.07668774782475231
ITSall_OTUa_4922,-0.07316310460155338
ITSall_OTUj_20813,-0.019596352348965583
ITSall_OTUn_4986,-0.06763020759574541
ITSall_OTUj_13125,-0.21059388534940826
ITSall_OTUj_191,-0.0800558701459944
ITSall_OTUe_4441,-0.09466030919106068
ITSall_OTUj_119,-0.20770626662345917
ITSall_OTUa_255,-0.16080706304723466
ITSall_OTUj_10114,-0.20625720580231924
ITSall_OTUj_134,-0.213728971641387
ITSall_OTUf_3334,-0.14050582158230995
